"USER_ID","Predictions"
2,"Democrat"
3,"Republican"
6,"Democrat"
7,"Democrat"
14,"Democrat"
28,"Republican"
29,"Democrat"
37,"Republican"
44,"Democrat"
56,"Republican"
62,"Republican"
68,"Republican"
72,"Republican"
74,"Democrat"
80,"Republican"
81,"Republican"
87,"Democrat"
92,"Republican"
96,"Republican"
100,"Democrat"
104,"Democrat"
105,"Republican"
108,"Democrat"
124,"Republican"
125,"Democrat"
127,"Democrat"
128,"Democrat"
129,"Republican"
130,"Democrat"
139,"Republican"
149,"Democrat"
151,"Democrat"
154,"Democrat"
158,"Democrat"
159,"Republican"
168,"Republican"
177,"Democrat"
185,"Republican"
192,"Democrat"
195,"Republican"
198,"Democrat"
208,"Republican"
209,"Republican"
213,"Democrat"
225,"Republican"
229,"Democrat"
231,"Democrat"
236,"Democrat"
238,"Democrat"
239,"Democrat"
240,"Republican"
244,"Republican"
259,"Democrat"
260,"Republican"
264,"Democrat"
267,"Democrat"
268,"Democrat"
271,"Republican"
272,"Republican"
274,"Republican"
285,"Democrat"
286,"Republican"
296,"Democrat"
308,"Republican"
310,"Democrat"
318,"Republican"
333,"Republican"
340,"Democrat"
342,"Democrat"
343,"Democrat"
344,"Republican"
345,"Democrat"
346,"Republican"
352,"Republican"
354,"Democrat"
357,"Democrat"
366,"Democrat"
369,"Republican"
380,"Republican"
389,"Democrat"
391,"Democrat"
394,"Democrat"
396,"Republican"
404,"Republican"
407,"Democrat"
422,"Democrat"
426,"Democrat"
428,"Democrat"
429,"Republican"
438,"Republican"
452,"Democrat"
462,"Republican"
469,"Democrat"
480,"Democrat"
488,"Democrat"
489,"Democrat"
492,"Democrat"
498,"Democrat"
505,"Republican"
508,"Republican"
510,"Democrat"
511,"Republican"
512,"Democrat"
518,"Republican"
519,"Republican"
522,"Democrat"
523,"Republican"
528,"Republican"
530,"Republican"
543,"Republican"
549,"Democrat"
553,"Democrat"
556,"Democrat"
558,"Democrat"
562,"Republican"
563,"Republican"
565,"Republican"
567,"Democrat"
571,"Democrat"
572,"Democrat"
581,"Democrat"
584,"Democrat"
600,"Democrat"
611,"Republican"
617,"Democrat"
635,"Republican"
642,"Republican"
646,"Democrat"
648,"Democrat"
651,"Democrat"
659,"Republican"
661,"Democrat"
